市場,証券コード,銘柄名,業種,株価,配当利回り(%),売上高スコア,営業利益率スコア,EPSスコア,営業CFスコア,一株配当スコア,配当性向スコア,自己資本比率スコア,現金等スコア,総合スコア
東証PRM,4901,富士フイルムホールディングス(株),化学,3023,2.32,3,0,15,3,21,7,6,-15,40
東証GRT,7351,(株)グッドパッチ,サービス業,464,2.16,21,2,-6,-7,0,0,18,12,40
東証PRM,6925,ウシオ電機(株),電気機器,3366,2.08,-3,-6,-3,9,7,7,20,9,40
東証STD,7305,新家工業(株),鉄鋼,2504,5.99,3,-2,3,3,17,1,11,3,39
東証PRM,3393,スターティアホールディングス(株),卸売業,2770,4.87,15,10,3,-7,11,-1,11,-3,39
東証PRM,6339,新東工業(株),機械,991,4.44,15,-46,3,3,19,13,17,15,39
東証STD,9466,(株)アイドママーケティングコミュニケーション,情報・通信,237,4.22,-3,2,4,-9,13,9,20,3,39
東証PRM,6167,冨士ダイス(株),機械,1000,4,3,-2,3,-3,15,-1,21,3,39
名証,3670,協立情報通信(株),情報・通信,1645,3.95,-9,6,3,-14,9,19,16,9,39
東証STD,7472,(株)鳥羽洋行,卸売業,3805,3.94,-3,-2,3,-2,9,11,20,3,39
東証STD,7570,橋本総業ホールディングス(株),卸売業,1280,3.91,21,-34,21,-2,21,11,-8,9,39
東証PRM,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス(株),保険業,3978,3.9,21,0,3,-14,21,9,-10,9,39
東証STD,8844,(株)コスモスイニシア,不動産業,1185,3.71,21,14,9,-37,19,8,-10,15,39
東証STD,3161,アゼアス(株),卸売業,689,3.34,-3,6,15,-23,15,11,21,-3,39
東証PRM,368A,(株)北里コーポレーション,精密機器,1265,3.24,9,0,3,0,3,0,15,9,39
東証STD,9780,(株)ハリマビステム,サービス業,948,3.16,21,-34,9,-2,13,11,12,9,39
東証PRM,6118,アイダエンジニアリング(株),機械,1315,2.81,9,-2,-3,-2,9,5,20,3,39
東証STD,5658,日亜鋼業(株),鉄鋼,367,2.72,9,6,-3,-8,5,7,20,3,39
東証STD,3495,香陵住販(株),不動産業,2375,2.57,21,-2,15,-22,19,9,-10,9,39
東証PRM,7762,シチズン時計(株),精密機器,1986,2.37,9,-6,4,-3,7,10,15,3,39
東証GRT,5888,ＤＡＩＷＡ　ＣＹＣＬＥ(株),小売業,3280,2.23,9,4,3,4,6,0,10,3,39
