市場,証券コード,銘柄名,業種,株価,配当利回り(%),売上高スコア,営業利益率スコア,EPSスコア,営業CFスコア,一株配当スコア,配当性向スコア,自己資本比率スコア,現金等スコア,総合スコア
東証PRM,4684,(株)オービック,情報・通信,4232,2.22,21,44,21,21,21,17,30,21,196
東証STD,8117,中央自動車工業(株),卸売業,1853,3.08,21,40,21,15,21,15,30,15,178
東証PRM,3835,ｅＢＡＳＥ(株),情報・通信,418,3.64,21,40,21,3,19,13,30,27,174
東証PRM,2327,日鉄ソリューションズ(株),情報・通信,3648,2.38,21,40,21,3,21,23,18,27,174
東証PRM,4828,ビジネスエンジニアリング(株),情報・通信,1246,3.34,21,44,21,3,21,27,15,21,173
東証PRM,3925,(株)ダブルスタンダード,情報・通信,1355,5.17,15,36,21,9,21,18,24,27,171
東証PRM,4318,(株)クイック,サービス業,752,5.05,21,36,21,3,21,21,20,27,170
東証PRM,3836,(株)アバントグループ,情報・通信,1210,2.64,21,36,21,15,21,13,16,27,170
東証PRM,4812,(株)電通総研,情報・通信,2153,2.09,21,36,15,3,21,25,20,27,168
東証STD,4832,ＪＦＥシステムズ(株),情報・通信,2018,3.47,21,36,15,15,21,19,13,27,167
東証PRM,7595,(株)アルゴグラフィックス,情報・通信,1356,5.9,21,40,21,3,21,19,20,21,166
東証PRM,3916,デジタル・インフォメーション・テクノロジー(株),情報・通信,917,4.09,21,40,21,9,15,13,20,27,166
東証STD,4746,(株)東計電算,情報・通信,4125,4.19,21,36,15,9,21,25,29,9,165
東証PRM,7839,(株)ＳＨＯＥＩ,その他製品,1815,3.31,15,28,15,21,15,17,26,27,164
東証PRM,8111,(株)ゴールドウイン,繊維製品,2215.5,2.62,21,36,21,9,21,15,14,27,164
東証PRM,6200,(株)インソース,サービス業,669,4.41,15,40,15,21,21,15,20,15,162
東証PRM,9039,(株)サカイ引越センター,陸運業,2887,3.39,21,32,21,15,19,13,20,21,162
東証PRM,9759,(株)ＮＳＤ,情報・通信,2685.5,3.5,21,40,21,15,21,-1,28,15,160
東証STD,3969,(株)エイトレッド,情報・通信,1389,2.59,21,28,21,9,15,17,22,27,160
東証PRM,2379,ディップ(株),サービス業,1824,5.32,21,44,21,15,21,7,21,9,159
東証PRM,9746,(株)ＴＫＣ,情報・通信,3595,3.06,21,36,21,3,21,17,25,15,159
東証PRM,2163,(株)アルトナー,サービス業,1906,4.51,18,42,18,12,18,8,18,24,158
東証PRM,9628,燦ホールディングス(株),サービス業,1390,4.1,21,36,9,9,21,13,28,21,158
東証STD,6161,(株)エスティック,機械,1019,3.04,21,32,21,9,21,9,30,15,158
東証PRM,2359,(株)コア,情報・通信,2006,2.99,15,40,9,9,17,21,16,27,154
東証PRM,7818,(株)トランザクション,その他製品,1146,2.71,21,40,21,9,21,17,22,3,154
東証PRM,3064,(株)ＭｏｎｏｔａＲＯ,小売業,1846.5,2,21,32,21,9,21,25,16,9,154
東証PRM,7979,(株)松風,精密機器,1644,3.22,15,40,15,3,19,21,25,15,153
東証PRM,3854,(株)アイル,情報・通信,2415,2.73,21,44,21,3,19,21,9,15,153
東証STD,3712,(株)情報企画,情報・通信,1039,2.31,15,36,15,9,21,19,23,15,153
東証PRM,3901,マークラインズ(株),情報・通信,1490,3.89,21,24,15,9,21,21,20,21,152
東証STD,6248,(株)横田製作所,機械,1876,3.2,15,36,9,3,19,19,30,21,152
東証PRM,3762,テクマトリックス(株),情報・通信,1815,2.7,21,36,21,15,21,21,-10,27,152
東証PRM,4733,(株)オービックビジネスコンサルタント,情報・通信,6213,2.09,15,32,9,-3,19,27,26,27,152
東証PRM,6005,三浦工業(株),機械,3327,2.01,21,40,21,3,21,17,19,9,151
東証STD,7191,(株)イントラスト,その他金融業,1116,3.41,21,36,15,9,16,15,17,21,150
東証PRM,3150,(株)グリムス,電気・ガス業,2869,2.96,15,44,21,10,21,13,11,15,150
東証PRM,9790,福井コンピュータホールディングス(株),情報・通信,3100,2.35,15,36,15,9,19,11,23,21,149
東証STD,4771,(株)エフアンドエム,サービス業,2070,2.03,21,28,3,15,21,21,25,15,149
東証PRM,4719,(株)アルファシステムズ,情報・通信,3325,3.76,21,36,15,9,7,21,30,9,148
東証PRM,6454,マックス(株),機械,1795,2.23,15,40,15,15,19,13,22,9,148
東証PRM,3844,コムチュア(株),情報・通信,1372,3.64,21,24,21,3,21,25,17,15,147
東証PRM,8771,イー・ギャランティ(株),その他金融業,1703,2.23,21,36,21,3,21,19,17,9,147
東証PRM,3921,(株)ネオジャパン,情報・通信,1578,3.42,18,30,18,12,18,8,18,24,146
東証PRM,2317,(株)システナ,情報・通信,433,3,21,36,9,3,21,19,16,21,146
東証PRM,2670,(株)エービーシー・マート,小売業,2693,2.97,21,32,15,3,9,21,30,15,146
東証STD,1723,日本電技(株),建設業,2730,2.05,15,36,21,3,21,21,19,9,145
東証PRM,7921,(株)ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,その他製品,3365,3.57,21,28,15,3,15,21,20,21,144
東証PRM,3771,(株)システムリサーチ,情報・通信,1662,4.21,21,28,21,3,21,19,15,15,143
東証GRT,7079,ＷＤＢココ(株),サービス業,2598,3.66,21,32,21,9,9,7,20,24,143
東証PRM,6196,(株)ストライクグループ,サービス業,1233,5.27,21,24,15,3,21,9,28,21,142
東証PRM,4687,ＴＤＣソフト(株),情報・通信,982,3.36,21,6,21,3,21,23,20,27,142
東証PRM,6050,イー・ガーディアン(株),サービス業,1634,2.33,9,32,3,15,21,11,23,27,141
東証PRM,4345,(株)シーティーエス,サービス業,825,3.64,21,40,15,9,21,15,16,3,140
東証PRM,4722,フューチャー(株),情報・通信,1561,3.07,15,32,9,-3,21,25,20,21,140
東証PRM,3480,(株)ジェイ・エス・ビー,不動産業,5430,2.12,21,36,15,9,21,11,6,21,140
東証STD,7804,(株)ビーアンドピー,その他製品,2217,3.92,9,34,9,6,11,20,23,27,139
東証PRM,4516,日本新薬(株),医薬品,4093,3.03,21,36,15,3,19,15,27,3,139
東証PRM,4507,塩野義製薬(株),医薬品,3177,2.23,9,36,9,3,21,11,29,21,139
東証PRM,4481,ベース(株),情報・通信,3220,5.78,21,42,15,6,15,4,14,21,138
東証PRM,6436,アマノ(株),機械,3676,4.9,21,40,15,9,21,-3,20,15,138
東証PRM,6947,(株)図研,電気機器,4530,4.42,21,40,21,3,15,3,20,15,138
東証PRM,9739,ＮＳＷ(株),情報・通信,2457,3.46,15,40,15,9,11,7,20,21,138
東証PRM,6036,ＫｅｅＰｅｒ技研(株),サービス業,2946,3.39,21,36,15,15,15,13,20,3,138
東証STD,6912,菊水ホールディングス(株),電気機器,2530,2.49,15,32,15,9,15,21,28,3,138
東証GRT,4486,ユナイトアンドグロウ(株),情報・通信,655,2.44,21,34,15,6,16,9,16,21,138
東証PRM,3626,ＴＩＳ(株),情報・通信,3565,2.13,21,40,15,9,21,5,17,9,137
東証PRM,4847,(株)インテリジェント　ウェイブ,情報・通信,995,3.72,15,28,9,21,13,17,18,15,136
東証GRT,4394,(株)エクスモーション,情報・通信,881,2.84,15,28,3,15,17,13,30,15,136
東証GRT,4482,(株)ウィルズ,情報・通信,726,2.48,21,34,16,24,9,7,4,21,136
東証PRM,6869,シスメックス(株),電気機器,1350,2.81,15,24,9,9,21,20,20,15,133
東証PRM,9364,(株)上組,倉庫・運輸関連業,5289,3.5,15,32,21,3,21,-3,28,15,132
東証PRM,4151,協和キリン(株),医薬品,2326,3.01,15,36,9,-9,21,16,29,15,132
東証PRM,3679,(株)じげん,情報・通信,431,2.55,21,28,15,21,12,-1,15,21,132
東証PRM,4216,旭有機材(株),化学,5700,2.11,15,40,9,9,17,13,20,9,132
東証PRM,4396,(株)システムサポートホールディングス,情報・通信,1080,2.87,21,14,21,15,17,14,2,27,131
東証PRM,4290,(株)プレステージ・インターナショナル,サービス業,684,3.8,21,20,15,3,21,9,20,21,130
東証PRM,1976,明星工業(株),建設業,1790,3.63,15,36,15,-3,19,13,20,15,130
東証STD,9799,旭情報サービス(株),情報・通信,960,3.54,21,10,21,3,19,27,20,9,130
東証PRM,3649,(株)ファインデックス,情報・通信,789,3.42,15,28,9,3,17,21,28,9,130
東証PRM,2815,アリアケジャパン(株),食料品,5330,3.38,15,32,9,-3,17,15,30,15,130
東証PRM,3433,トーカロ(株),金属製品,3285,2.13,9,28,9,9,15,19,20,21,130
東証PRM,2326,デジタルアーツ(株),情報・通信,4940,2.02,9,32,9,-3,21,21,20,21,130
東証PRM,3983,(株)オロ,情報・通信,2104,2.38,15,32,9,3,16,5,22,27,129
東証PRM,6088,(株)シグマクシス・ホールディングス,サービス業,636,4.09,21,44,21,9,13,-1,18,3,128
東証PRM,7740,(株)タムロン,精密機器,1022,3.62,9,36,9,9,9,17,24,15,128
東証PRM,6785,(株)鈴木,電気機器,3180,3.3,15,36,9,9,11,7,20,21,128
東証STD,6322,(株)タクミナ,機械,1574,3.18,9,32,15,3,15,21,18,15,128
東証PRM,6539,(株)ＭＳ－Ｊａｐａｎ,サービス業,939,5.96,21,24,9,15,17,2,30,9,127
東証PRM,2127,(株)日本Ｍ＆Ａセンターホールディングス,サービス業,656.1,4.42,15,28,15,9,19,7,25,9,127
東証PRM,3076,あい　ホールディングス(株),卸売業,2719,4.05,3,28,9,3,21,17,25,21,127
東証PRM,4362,日本精化(株),化学,2564,4.06,9,36,15,-3,19,13,22,15,126
東証PRM,4825,(株)ウェザーニューズ,情報・通信,2103,3.8,21,28,9,3,13,1,30,21,126
東証PRM,8056,ＢＩＰＲＯＧＹ(株),情報・通信,4493,3.12,21,14,15,9,15,21,10,21,126
東証PRM,9672,東京都競馬(株),サービス業,5500,2.65,21,36,9,15,17,11,20,-3,126
東証PRM,5384,(株)フジミインコーポレーテッド,ガラス・土石製品,3385,2.17,15,36,3,15,17,7,30,3,126
東証PRM,4743,(株)アイティフォー,情報・通信,1707,4.69,9,28,15,9,17,11,21,15,125
東証PRM,9702,(株)アイ・エス・ビー,情報・通信,2183,3.21,21,6,15,3,19,21,19,21,125
東証PRM,9068,丸全昭和運輸(株),陸運業,7950,2.64,15,10,21,15,21,9,19,15,125
東証PRM,6823,リオン(株),電気機器,3665,2.46,21,32,3,3,17,13,21,15,125
東証STD,3804,(株)システム　ディ,情報・通信,520,2.12,9,36,15,3,21,9,17,15,125
東証STD,7749,メディキット(株),精密機器,2975,3.36,21,28,9,3,13,5,30,15,124
東証PRM,3496,(株)アズーム,不動産業,4220,2.99,21,40,4,21,3,4,10,21,124
東証PRM,4718,(株)早稲田アカデミー,サービス業,1942,2.83,21,6,15,15,19,21,12,15,124
東証STD,7833,(株)アイフィスジャパン,その他製品,660,4.55,15,32,3,-3,13,15,27,21,123
東証PRM,3763,(株)プロシップ,情報・通信,1618,2.47,15,28,3,3,15,17,27,15,123
東証PRM,6532,(株)ベイカレント,サービス業,5275,2.46,21,6,21,15,10,13,16,21,123
東証STD,9687,(株)ＫＳＫ,情報・通信,4400,4.32,21,28,15,9,9,17,20,3,122
東証PRM,9757,(株)船井総研ホールディングス,サービス業,1114,4.31,15,24,15,9,21,-3,26,15,122
東証STD,4356,応用技術(株),情報・通信,1780,2.25,9,28,9,10,12,7,20,27,122
東証PRM,9793,(株)ダイセキ,サービス業,4245,2.03,9,28,21,9,19,7,20,9,122
東証PRM,6458,新晃工業(株),機械,1266,3.95,15,28,9,3,21,11,19,15,121
東証PRM,1414,ショーボンドホールディングス(株),建設業,1329,3.42,21,32,21,-3,21,3,29,-3,121
東証PRM,6381,アネスト岩田(株),機械,1629,5.1,21,20,3,9,7,19,20,21,120
東証PRM,4674,(株)クレスコ,情報・通信,1400,4.14,21,2,21,3,15,23,20,15,120
東証PRM,4540,(株)ツムラ,医薬品,3582,4.02,21,28,3,3,11,25,20,9,120
東証PRM,9682,(株)ＤＴＳ,情報・通信,989,3.84,15,32,15,9,15,5,20,9,120
東証PRM,4958,長谷川香料(株),化学,2933,3.41,15,28,3,3,15,21,26,9,120
東証STD,4800,オリコン(株),情報・通信,1133,3.18,3,36,9,-3,19,17,24,15,120
東証PRM,4021,日産化学(株),化学,6892,2.61,15,36,15,9,19,3,20,3,120
東証PRM,7730,マニー(株),精密機器,1692,2.42,9,24,9,3,19,11,30,15,120
東証STD,9436,沖縄セルラー電話(株),情報・通信,3185,2.01,21,36,15,-3,9,9,30,3,120
東証PRM,4641,(株)アルプス技研,サービス業,2507,4.31,15,32,15,9,9,-3,20,21,118
東証PRM,3092,(株)ＺＯＺＯ,小売業,1029,3.89,21,28,15,9,15,9,6,15,118
東証STD,5982,(株)マルゼン,金属製品,3650,3.42,15,10,15,15,19,9,20,15,118
東証PRM,4732,(株)ユー・エス・エス,サービス業,1692.5,3.06,9,24,15,9,21,-5,24,21,118
東証STD,2185,(株)シイエム・シイ,サービス業,1836,3,9,28,9,3,19,9,20,21,118
東証PRM,9273,コーア商事ホールディングス(株),卸売業,883,2.04,9,32,3,3,19,11,20,21,118
東証STD,3937,(株)Ｕｂｉｃｏｍホールディングス,情報・通信,976,4.1,21,36,4,3,10,3,13,27,117
東証PRM,4848,(株)フルキャストホールディングス,サービス業,1605,3.99,9,28,-3,9,21,19,19,15,117
東証PRM,6750,エレコム(株),電気機器,1626,3.51,15,36,9,9,21,-5,17,15,117
東証PRM,2726,(株)パルグループホールディングス,小売業,1495,2.68,21,14,3,10,19,19,10,21,117
東証PRM,7949,小松ウオール工業(株),その他製品,2547,5.3,21,6,3,-3,19,13,30,27,116
東証PRM,7575,日本ライフライン(株),卸売業,1263,4.43,15,36,9,9,17,3,18,9,116
東証PRM,9928,(株)ミロク情報サービス,情報・通信,1723,3.48,21,32,9,3,19,15,14,3,116
東証PRM,3371,(株)ソフトクリエイトホールディングス,情報・通信,1804,3.44,21,24,15,3,13,11,14,15,116
東証STD,5363,(株)ＴＹＫ,ガラス・土石製品,590,3.37,15,32,15,3,15,13,20,3,116
東証PRM,8801,三井不動産(株),不動産業,1656.5,2.05,21,40,21,9,19,13,-10,3,116
東証PRM,3088,(株)マツキヨココカラ＆カンパニー,小売業,2350.5,2.04,15,14,21,9,21,7,20,9,116
東証PRM,7438,コンドーテック(株),卸売業,1453,3.58,21,2,19,9,21,13,15,15,115
東証PRM,5929,三和ホールディングス(株),金属製品,3643,3.4,15,10,21,9,21,19,11,9,115
東証STD,9632,スバル興業(株),サービス業,3480,2.3,12,30,0,6,16,12,27,12,115
東証PRM,9744,(株)メイテックグループホールディングス,サービス業,3076,5.88,21,36,21,-3,21,-13,10,21,114
東証PRM,9795,(株)ステップ,サービス業,2258,3.9,15,28,9,-9,21,5,30,15,114
東証STD,3841,(株)ジーダット,情報・通信,1216,3.29,21,32,3,-2,13,17,27,3,114
東証PRM,3543,(株)コメダホールディングス,卸売業,3030,2.05,21,20,15,9,14,20,0,15,114
東証GRT,7039,ブリッジインターナショナルグループ(株),サービス業,1794,5.3,21,28,21,3,4,4,23,9,113
東証PRM,4662,(株)フォーカスシステムズ,情報・通信,1520,4.21,21,2,15,15,15,15,15,15,113
東証PRM,3635,(株)コーエーテクモホールディングス,情報・通信,1537,3.12,9,36,15,3,15,5,27,3,113
東証PRM,3837,アドソル日進(株),情報・通信,1496,3.07,15,14,21,-3,21,21,15,9,113
東証PRM,2301,(株)学情,サービス業,1621,4.63,15,24,3,3,15,13,30,9,112
東証PRM,5334,日本特殊陶業(株),ガラス・土石製品,8679,2.42,15,32,3,9,11,15,18,9,112
東証STD,5273,三谷セキサン(株),ガラス・土石製品,1708,2.37,15,6,15,9,15,5,20,27,112
東証STD,6035,(株)アイ・アールジャパンホールディングス,サービス業,742,3.77,9,36,9,9,7,-5,25,21,111
東証PRM,4528,小野薬品工業(株),医薬品,2480.5,3.23,15,32,9,-3,15,5,29,9,111
東証PRM,4768,(株)大塚商会,情報・通信,3038,3.13,15,6,15,9,21,17,13,15,111
東証PRM,1879,新日本建設(株),建設業,1928,3.01,15,28,15,-9,19,5,17,21,111
東証PRM,2930,(株)北の達人コーポレーション,化学,130,2.69,15,6,9,15,9,23,25,9,111
東証STD,3940,(株)ノムラシステムコーポレーション,情報・通信,133,2.67,15,32,9,-3,5,8,30,15,111
東証PRM,6184,(株)鎌倉新書,サービス業,479,4.18,18,30,18,6,10,-7,23,12,110
東証STD,6863,(株)ニレコ,電気機器,2209,3.85,15,10,9,3,17,23,30,3,110
東証PRM,7931,未来工業(株),化学,3065,3.26,15,28,3,9,11,13,22,9,110
東証PRM,7725,(株)インターアクション,精密機器,1871,2.35,9,32,9,-1,19,11,22,9,110
東証PRM,4559,ゼリア新薬工業(株),医薬品,2145,2.24,3,32,9,9,17,15,10,15,110
名証,6565,ＡＢホテル(株),サービス業,1361,2.5,21,28,21,4,17,9,-6,15,109
東証PRM,7989,立川ブラインド工業(株),金属製品,2497,4.81,9,10,21,9,19,15,22,3,108
東証STD,4762,(株)エックスネット,情報・通信,1551,4.51,9,20,9,3,11,19,28,9,108
東証STD,8769,(株)アドバンテッジリスクマネジメント,サービス業,470,3.62,21,10,21,3,19,5,14,15,108
東証PRM,4919,(株)ミルボン,化学,2516,3.5,15,28,3,3,15,11,30,3,108
東証STD,7292,(株)村上開明堂,輸送用機器,6770,3.1,21,2,15,-3,21,11,20,21,108
東証PRM,9699,ニシオホールディングス(株),サービス業,4325,3.05,15,2,15,15,17,19,10,15,108
東証PRM,7476,アズワン(株),卸売業,2140.5,2.94,21,32,15,-3,15,5,20,3,108
東証STD,9029,(株)ヒガシホールディングス,陸運業,1780,2.81,21,2,15,3,19,23,10,15,108
東証PRM,7974,任天堂(株),その他製品,7667,2.36,3,32,9,9,9,-1,26,21,108
東証GRT,4380,(株)Ｍマート,情報・通信,1177,2.21,18,34,7,7,6,3,9,24,108
東証GRT,9467,(株)アルファポリス,情報・通信,1134,2.12,15,32,9,3,0,3,25,21,108
東証PRM,6914,オプテックスグループ(株),電気機器,3165,2.05,9,28,3,9,13,11,20,15,108
東証STD,4299,(株)ハイマックス,情報・通信,1180,3.9,21,-6,3,-3,19,23,23,27,107
東証PRM,3963,(株)シンクロ・フード,情報・通信,425,3.53,21,28,9,-2,3,-2,29,21,107
東証STD,5071,(株)ヴィス,サービス業,1465,3.34,21,6,15,9,15,8,15,18,107
東証STD,7849,スターツ出版(株),情報・通信,4000,3.25,9,28,9,-3,15,13,27,9,107
東証PRM,6420,ガリレイ(株),機械,3465,2.57,21,32,3,-9,19,9,17,15,107
東証STD,2480,システム・ロケーション(株),情報・通信,1710,2.22,3,32,3,-2,7,27,28,9,107
東証STD,6566,(株)要興業,サービス業,1354,2.14,21,28,3,3,7,15,21,9,107
東証PRM,6417,(株)ＳＡＮＫＹＯ,機械,1852.5,4.86,3,32,15,15,13,-17,30,15,106
東証STD,9034,南総通運(株),陸運業,1554,4.5,21,28,3,3,15,5,16,15,106
東証PRM,2153,Ｅ・Ｊホールディングス(株),サービス業,1684,4.1,15,28,-2,4,19,13,20,9,106
東証PRM,7164,全国保証(株),その他金融業,3103,3.87,21,24,21,3,21,13,0,3,106
東証PRM,3040,(株)ソリトンシステムズ,情報・通信,1871,3.21,3,32,9,9,17,11,10,15,106
東証STD,5945,天龍製鋸(株),金属製品,2490,3.17,3,28,3,3,3,21,30,15,106
東証STD,6488,(株)ヨシタケ,機械,936,2.99,15,2,9,-3,17,27,30,9,106
東証PRM,1944,(株)きんでん,建設業,8310,2.89,15,6,15,-3,21,11,20,21,106
東証STD,4752,(株)昭和システムエンジニアリング,情報・通信,1541,3.57,3,10,21,3,11,25,11,21,105
東証PRM,6272,レオン自動機(株),機械,1612,3.35,15,6,9,3,9,21,21,21,105
東証STD,3671,ソフトマックス(株),情報・通信,347,2.88,9,40,21,-2,13,15,0,9,105
東証PRM,7864,(株)フジシールインターナショナル,その他製品,2529,2.81,15,6,21,-3,19,15,17,15,105
東証PRM,6856,(株)堀場製作所,電気機器,23170,2.11,9,28,3,9,3,19,13,21,105
東証PRM,4432,ウイングアーク１ｓｔ(株),情報・通信,2651,4.07,18,34,12,6,12,6,4,12,104
東証PRM,6517,デンヨー(株),電気機器,3750,2.67,9,6,9,3,19,17,20,21,104
東証STD,4642,オリジナル設計(株),サービス業,1555,2.57,15,28,-3,-8,17,21,25,9,104
東証GRT,6086,シンメンテホールディングス(株),サービス業,1073,2.05,21,6,21,9,21,5,6,15,104
東証PRM,4792,山田コンサルティンググループ(株),サービス業,1664,4.63,21,28,9,-13,19,11,25,3,103
東証PRM,9433,ＫＤＤＩ(株),情報・通信,2528.5,3.16,21,28,9,-3,21,12,6,9,103
東証STD,6918,(株)アバールデータ,電気機器,3325,2.98,3,32,9,-12,13,25,24,9,103
東証PRM,2124,ＪＡＣ　Ｒｅｃｒｕｉｔｍｅｎｔ,サービス業,847,4.49,15,28,9,15,19,-13,20,9,102
東証STD,1717,明豊ファシリティワークス(株),サービス業,975,4.46,3,36,15,-7,21,19,18,-3,102
東証PRM,3003,ヒューリック(株),不動産業,1802.5,3.72,3,28,21,3,21,27,-10,9,102
東証STD,2924,イフジ産業(株),食料品,2002,3.45,9,6,15,4,15,11,15,27,102
東証STD,6157,日進工具(株),機械,887,3.38,9,20,-3,9,15,13,30,9,102
東証PRM,6432,(株)竹内製作所,機械,7300,3.01,15,24,9,-3,21,7,20,9,102
東証PRM,8876,(株)リログループ,サービス業,1916,2.56,21,40,4,9,21,8,-10,9,102
東証PRM,4776,サイボウズ(株),情報・通信,2185,2.29,21,14,21,15,19,-5,8,9,102
東証PRM,3769,ＧＭＯペイメントゲートウェイ(株),情報・通信,7731,2.2,21,32,9,-1,15,9,-10,27,102
東証STD,7716,(株)ナカニシ,精密機器,2759,2.17,9,20,-8,15,13,16,28,9,102
東証STD,3848,(株)データ・アプリケーション,情報・通信,916,3.82,3,32,3,3,21,13,23,3,101
東証STD,4012,(株)アクシス,情報・通信,1682,3.39,21,6,9,15,9,3,20,18,101
東証PRM,5032,ＡＮＹＣＯＬＯＲ(株),情報・通信,2786,2.69,21,36,10,10,0,-1,13,12,101
東証PRM,4709,(株)ＩＤホールディングス,情報・通信,1017,4.92,15,14,15,-2,19,5,13,21,100
東証STD,9651,日本プロセス(株),情報・通信,1818,4.18,15,6,21,-8,15,7,29,15,100
東証STD,4769,(株)ＩＣ,情報・通信,1064,3.76,21,6,9,3,21,5,20,15,100
東証PRM,8804,東京建物(株),不動産業,3475,3.51,21,32,15,-1,21,19,-10,3,100
東証STD,6392,(株)ヤマダコーポレーション,機械,6350,3.31,3,32,3,9,15,13,22,3,100
東証PRM,4931,新日本製薬(株),化学,2001,2.85,21,12,3,6,7,10,14,27,100
東証PRM,6237,(株)イワキ,機械,2741,2.77,15,2,9,3,15,27,20,9,100
東証STD,9845,(株)パーカーコーポレーション,化学,1424,2.32,15,6,3,9,21,11,14,21,100
東証PRM,3659,(株)ネクソン,情報・通信,2670.5,2.25,15,24,3,3,16,-5,29,15,100
東証PRM,2154,(株)オープンアップグループ,サービス業,1761,4.83,21,2,15,9,21,5,11,15,99
名証,2902,太陽化学(株),,2642,3.94,9,10,9,9,9,23,21,9,99
東証PRM,6333,(株)ＴＥＩＫＯＫＵ,機械,2861,3.84,15,32,3,15,15,-5,21,3,99
東証STD,9450,(株)ファイバーゲート,情報・通信,707,3.82,15,36,15,15,9,6,-6,9,99
東証PRM,2148,アイティメディア(株),サービス業,1334,3.75,15,32,3,-3,13,2,28,9,99
東証PRM,9960,東テク(株),卸売業,3945,2.97,21,10,21,-2,21,17,2,9,99
東証PRM,3962,(株)チェンジホールディングス,情報・通信,921,2.5,21,32,21,-14,9,1,14,15,99
東証PRM,6419,(株)マースグループホールディングス,機械,2838,5.29,3,32,3,3,15,9,30,3,98
東証STD,3912,(株)モバイルファクトリー,情報・通信,1147,4.45,9,36,-2,3,9,0,28,15,98
東証PRM,3834,(株)朝日ネット,情報・通信,617,4.05,21,32,15,-3,15,3,30,-15,98
東証STD,9414,日本ＢＳ放送(株),情報・通信,916,3.28,3,28,3,-9,17,17,30,9,98
東証PRM,4220,リケンテクノス(株),化学,1679,3.22,15,6,15,9,21,7,10,15,98
東証PRM,7947,(株)エフピコ,化学,2367,3.08,21,2,15,3,15,23,10,9,98
東証PRM,6284,日精エー・エス・ビー機械(株),機械,8220,2.43,9,36,3,-2,15,5,17,15,98
東証PRM,9037,(株)ハマキョウレックス,陸運業,1744,2.22,21,-2,21,3,21,9,10,15,98
東証STD,6888,アクモス(株),情報・通信,545,4.59,21,6,15,-2,16,13,13,15,97
東証STD,3045,(株)カワサキ,卸売業,1452,3.44,3,44,3,-3,3,13,19,15,97
東証PRM,3788,ＧＭＯグローバルサイン・ホールディングス(株),情報・通信,1991,3,21,2,15,15,9,5,15,15,97
東証PRM,6364,(株)ＡＩＲＭＡＮ,機械,2115,2.84,15,6,9,3,15,15,19,15,97
東証STD,4491,コンピューターマネージメント(株),情報・通信,2996,2,21,-2,9,9,21,7,14,18,97
東証PRM,6345,(株)アイチコーポレーション,機械,1388,4.68,3,24,3,9,19,9,26,3,96
東証PRM,8739,スパークス・グループ(株),証券業,2039,4.61,9,36,3,3,17,0,19,9,96
東証GRT,6033,(株)エクストリーム,サービス業,1445,4.29,15,6,15,-3,15,11,16,21,96
東証PRM,2307,(株)クロスキャット,情報・通信,942,3.93,9,6,15,9,15,15,12,15,96
東証PRM,2659,(株)サンエー,小売業,3205,3.43,15,2,9,9,21,11,20,9,96
東証PRM,4095,日本パーカライジング(株),化学,1467,3.41,15,28,3,-3,11,7,20,15,96
東証STD,9768,いであ(株),サービス業,3480,3.39,15,32,9,-8,17,13,21,-3,96
東証STD,4465,(株)ニイタカ,化学,2319,3.28,21,6,15,3,13,11,12,15,96
東証PRM,9324,安田倉庫(株),倉庫・運輸関連業,2285,2.98,21,-2,9,3,17,17,10,21,96
東証STD,2481,(株)タウンニュース社,サービス業,700,2.86,-3,32,3,9,13,9,30,3,96
東証STD,9656,グリーンランドリゾート(株),サービス業,614,2.44,15,32,4,-8,12,10,10,21,96
東証PRM,6099,(株)エラン,サービス業,690,2.32,21,2,15,3,19,17,10,9,96
東証PRM,9416,(株)ビジョン,情報・通信,1115,4.57,15,10,10,10,3,6,20,21,95
東証PRM,6058,(株)ベクトル,サービス業,1284,2.8,21,28,-1,4,15,9,-2,21,95
東証PRM,1835,東鉄工業(株),建設業,5520,2.72,21,6,15,-2,21,19,18,-3,95
東証PRM,9934,因幡電機産業(株),卸売業,2649.5,2.64,15,6,21,-9,19,17,17,9,95
東証PRM,2335,(株)キューブシステム,情報・通信,1015,4.53,21,2,9,-3,11,13,20,21,94
東証STD,6677,(株)エスケーエレクトロニクス,電気機器,3565,4.26,9,36,-2,9,3,8,22,9,94
東証PRM,7296,(株)エフ・シー・シー,輸送用機器,3425,3.91,9,6,15,-3,19,7,20,21,94
東証STD,5464,モリ工業(株),鉄鋼,966,3.73,-3,28,-3,9,11,11,20,21,94
東証PRM,6859,エスペック(株),電気機器,3475,3.31,15,6,9,3,19,13,20,9,94
東証STD,6091,(株)ウエスコホールディングス,サービス業,858,3.26,15,6,3,9,17,9,20,15,94
東証STD,3648,ＡＧＳ(株),情報・通信,1159,2.93,15,-2,3,9,9,19,20,21,94
東証STD,1381,(株)アクシーズ,水産・農林業,4055,2.77,21,-2,3,9,21,5,28,9,94
東証STD,2782,(株)セリア,小売業,3360,2.23,21,-6,9,3,15,17,20,15,94
東証PRM,5310,東洋炭素(株),ガラス・土石製品,6840,2.12,3,32,3,3,15,5,30,3,94
東証PRM,7309,(株)シマノ,輸送用機器,17295,2.1,9,20,-3,3,15,5,30,15,94
東証STD,9782,(株)ディーエムエス,サービス業,3095,7.37,15,2,9,-3,21,7,21,21,93
東証PRM,3148,(株)クリエイトＳＤホールディングス,小売業,3290,2.74,21,-6,15,15,21,5,13,9,93
